what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1274819071228
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1274819071228
java.vm.version,sysinfo,,,"11.0-b15",1274819071228
started,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1274819099402
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819099417
started,bundle,org.eclipse.rse.services,3.1.1.v200909160005,"org.eclipse.rse.services",1274819099449
started,bundle,org.eclipse.rse.core,3.1.1.v200909160005,"org.eclipse.rse.core",1274819099464
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819099651
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819099792
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819136311
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819140601
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819143565
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819143675
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1274819143924
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1274819143924
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.1.v20090910-1601,"org.eclipse.dltk.debug.ui",1274819143924
stopped,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1274819143924
stopped,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1274819143924
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1274819143924
stopped,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1274819143924
stopped,bundle,org.zend.php.debug.debugger,5.2.26.v20090817,"org.zend.php.debug.debugger",1274819143924
stopped,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1274819143924
stopped,bundle,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.php.debug.ui",1274819143924
stopped,bundle,org.eclipse.php.debug.core,2.1.1.v20090914-1400,"org.eclipse.php.debug.core",1274819143924
stopped,bundle,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui",1274819143971
